train_id,comment,sentiment,predicted_sentiment
bbe0f441-b2fc-461a-9618-e3a7eb9cb6b7,Habari @telecom1_TZ naomba kujua kama kuna huduma ya kutuma sehemu ya bando langu la internet kwa rafiki kama alivyotangaza muheshimiwa waziri mwezi wa 5,-1,0.0
81b3b16d-8bf0-4d46-9b68-d7ffb078d108,@telecom3_tanzania Hivi telecom3 mnatuchukuliaje yaan mkiamka tyu mnaamua kubadilisha vifurushi bila ya kutaarifu wateja wenu hii sio haki na mungu wetu sote utakuja mtandao mpya na tutahama,-1,-1.0
f4785623-6bb9-49de-b905-25911a66f1d3,"@telecom2 wamupunguza vifurushi vya internet kimyakimya, tutanyooka tu",0,-1.0
0ec5ec2b-0811-4b1d-be70-9cc0c137159a,@telecom2 Kwenye huduma1 nimewakubali sana sema ile gharama inayoongezeka kdiri unavyokaa mngeipunguza zaidi.,-1,-1.0
40082169-ebd0-4ca9-b0d3-c46ac949e034,"@IdrisSultan vip kuhusu hawa mzee.
   Umefikia 75% ya matumizi ya kifurushi cha intaneti.",0,-1.0
094b70c6-060d-4a11-b557-3151e7e4abd0,telecom2 kama huna laini ya telecom2 na unataka mtumia mtu pesa kwa huduma ya M-PESA unalazimika  kulipia shilingi elfu mbili kwa kila laki moja,0,-1.0
e5014e44-e5ea-495e-96e7-c1d4a308e9fe,@WakandaRepublic Tunashukuru pia kwa kuonesha nia ya kuhitaji kufanya kazi nasi unaweza kuwa unafungua link yetu ya https://t.co/CoPB4swqMF kuangalia nafasi za kazi za mtandao wa telecom1 zinazotangazwa.,0,-1.0
fbef2b2b-4107-4a99-999e-53736faa74f6,@franknyabikwi @telecom2 @SuluhuSamia @kiongozi Tanzania kwa sasa sisi wananchi hatuna mtetezi. @kiongozi aende Zambia akaone bei ya vifurushi na matumizi yake. Yaani mpaka unafurahia kulipia bando lingingine pale linapoisha. Haliumizi,-1,-1.0
a224c616-d035-430b-9f54-990ad6a94596,@kiongozi Mh Waziri mbna kama unakimbia hoja za msingi kuhusu vifurushi ni kweli kimya kimya maana ni mitandao yote alf bila taarifaa wewe achana na @darmpya_  wamefanya Wajibu wao kutoa habari WAZIRI ACHA MAKASIRIKO,-1,0.0
fd662c0d-de51-43e8-8dd2-5fbdfec5bb8c,"Huwa mnawasemaga saana #telecom5 na internet yao ya kiwakii Leo nimeamini! Mmmh🤔😥

Inabidi nirudi zangu tu #Smile maana huu ni upuuusi",-1,-1.0
cab8bbed-d37c-4638-9f00-b1fdd9ed67a9,"@MainanKisanga @Jonbillzjr @jaliluzaid @telecom_TANZANIA @telecom1_TZ Na wametuumiza sana,tumebaki mazoea tu",-1,0.0
796ca163-f8a6-4717-af94-dd617a977c35,"@Mwasakujonga Zoezi hili limehusisha kuondoa au kubadili baadhi ya vifurushi, kama una swali kuhusu kitu kingine tafadhali tujulishe. Pia suala la salio kutumika kwenye pindi unapowasha data limetokana na wewe kuwezesha matumizi ya salio unapokuwa hauna kifurushi. Mteja",0,0.0
1743cba9-62ae-4a28-931b-abc7f37de42b,"@naikonje @ndelwa65 Habari rose,tunaomba utufafanulie unapata changamoto gani katika kutumia mtandao wetu wa telecom1?",0,-1.0
